InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,Country,dup_flag,cohort_date,cohort_index
538652,21666,RIDGED GLASS T-LIGHT HOLDER,12,12:00.0,0.65,17890,United Kingdom,1,01/12/2010,1
538652,21948,SET OF 6 CAKE CHOPSTICKS,4,12:00.0,1.25,17890,United Kingdom,1,01/12/2010,1
538652,22214,CANDLE PLATE LACE WHITE,4,12:00.0,2.55,17890,United Kingdom,1,01/12/2010,1
538652,22460,EMBOSSED GLASS TEALIGHT HOLDER,6,12:00.0,1.25,17890,United Kingdom,1,01/12/2010,1
538652,22482,BLUE TEA TOWEL CLASSIC DESIGN,4,12:00.0,1.25,17890,United Kingdom,1,01/12/2010,1
538652,22727,ALARM CLOCK BAKELIKE RED ,2,12:00.0,3.75,17890,United Kingdom,1,01/12/2010,1
538657,21479,WHITE SKULL HOT WATER BOTTLE ,2,26:00.0,3.75,15867,United Kingdom,1,01/12/2010,1
538657,21524,DOORMAT SPOTTY HOME SWEET HOME,2,26:00.0,7.95,15867,United Kingdom,1,01/12/2010,1
538657,22113,GREY HEART HOT WATER BOTTLE,4,26:00.0,3.75,15867,United Kingdom,1,01/12/2010,1
538848,85232B,SET OF 3 BABUSHKA STACKING TINS,240,28:00.0,4.95,17404,Sweden,1,01/12/2010,1
538852,21754,HOME BUILDING BLOCK WORD,2,33:00.0,5.95,17372,United Kingdom,1,01/12/2010,1
538852,22582,PACK OF 6 SWEETIE GIFT BOXES,2,33:00.0,2.55,17372,United Kingdom,1,01/12/2010,1
538852,22719,GUMBALL MONOCHROME COAT RACK,1,33:00.0,1.25,17372,United Kingdom,1,01/12/2010,1
538852,22722,SET OF 6 SPICE TINS PANTRY DESIGN,1,33:00.0,3.95,17372,United Kingdom,1,01/12/2010,1
536388,22242,5 HOOK HANGER MAGIC TOADSTOOL,12,59:00.0,1.65,16250,United Kingdom,1,01/12/2010,1
536388,22318,FIVE HEART HANGING DECORATION,6,59:00.0,2.95,16250,United Kingdom,1,01/12/2010,1
536403,22867,HAND WARMER BIRD DESIGN,96,27:00.0,1.85,12791,Netherlands,1,01/12/2010,1
536403,POST,POSTAGE,1,27:00.0,15,12791,Netherlands,1,01/12/2010,1
536404,21212,PACK OF 72 RETROSPOT CAKE CASES,24,29:00.0,0.55,16218,United Kingdom,1,01/12/2010,1
536404,21213,PACK OF 72 SKULL CAKE CASES,24,29:00.0,0.55,16218,United Kingdom,1,01/12/2010,1
536404,85049D,BRIGHT BLUES RIBBONS ,12,29:00.0,1.25,16218,United Kingdom,1,01/12/2010,1
536460,22927,GREEN GIANT GARDEN THERMOMETER,2,22:00.0,5.95,14849,United Kingdom,1,01/12/2010,1
536466,22960,JAM MAKING SET WITH JARS,6,23:00.0,4.25,14849,United Kingdom,1,01/12/2010,1
536525,20750,RED RETROSPOT MINI CASES,10,54:00.0,7.95,14078,United Kingdom,1,01/12/2010,1
536525,22423,REGENCY CAKESTAND 3 TIER,2,54:00.0,12.75,14078,United Kingdom,1,01/12/2010,1
536525,22548,HEADS AND TAILS SPORTING FUN,1,54:00.0,1.25,14078,United Kingdom,1,01/12/2010,1
536571,22065,CHRISTMAS PUDDING TRINKET POT ,12,37:00.0,1.45,14696,United Kingdom,1,01/12/2010,1
536576,20971,PINK BLUE FELT CRAFT TRINKET BOX,144,11:00.0,1.06,13777,United Kingdom,1,01/12/2010,1
536576,22095,LADS ONLY TISSUE BOX,72,11:00.0,1.25,13777,United Kingdom,1,01/12/2010,1
536577,20725,LUNCH BAG RED RETROSPOT,60,13:00.0,1.45,13777,United Kingdom,1,01/12/2010,1
536578,22726,ALARM CLOCK BAKELIKE GREEN,4,15:00.0,3.75,17690,United Kingdom,1,01/12/2010,1
536578,22866,HAND WARMER SCOTTY DOG DESIGN,24,15:00.0,2.1,17690,United Kingdom,1,01/12/2010,1
536580,22988,SOLDIERS EGG CUP ,12,17:00.0,1.25,17690,United Kingdom,1,01/12/2010,1
536698,22745,POPPY'S PLAYHOUSE BEDROOM ,12,28:00.0,2.1,15363,United Kingdom,1,01/12/2010,1
536745,20750,RED RETROSPOT MINI CASES,8,38:00.0,7.95,17235,United Kingdom,1,01/12/2010,1
536762,20974,12 PENCILS SMALL TUBE SKULL,24,40:00.0,0.65,16186,United Kingdom,1,01/12/2010,1
536762,21481,FAWN BLUE HOT WATER BOTTLE,12,40:00.0,2.95,16186,United Kingdom,1,01/12/2010,1
536762,22064,PINK DOUGHNUT TRINKET POT ,12,40:00.0,1.65,16186,United Kingdom,1,01/12/2010,1
536762,85199L,LARGE HANGING IVORY & RED WOOD BIRD,12,40:00.0,0.65,16186,United Kingdom,1,01/12/2010,1
536833,21352,EUCALYPTUS & PINECONE  WREATH,2,48:00.0,6.75,18239,United Kingdom,1,01/12/2010,1
536833,22187,GREEN CHRISTMAS TREE CARD HOLDER,4,48:00.0,4.25,18239,United Kingdom,1,01/12/2010,1
536833,22785,SQUARECUSHION COVER PINK UNION FLAG,4,48:00.0,6.75,18239,United Kingdom,1,01/12/2010,1
536833,22810,SET OF 6 T-LIGHTS SNOWMEN,6,48:00.0,2.95,18239,United Kingdom,1,01/12/2010,1
536833,35961,FOLKART ZINC HEART CHRISTMAS DEC,12,48:00.0,0.85,18239,United Kingdom,1,01/12/2010,1
536837,20981,12 PENCILS TALL TUBE WOODLAND,5,15:00.0,0.85,14395,United Kingdom,1,01/12/2010,1
536837,21980,PACK OF 12 RED RETROSPOT TISSUES ,12,15:00.0,0.29,14395,United Kingdom,1,01/12/2010,1
536837,22632,HAND WARMER RED RETROSPOT,4,15:00.0,2.1,14395,United Kingdom,1,01/12/2010,1
536841,21143,ANTIQUE GLASS HEART DECORATION ,12,27:00.0,1.95,16150,United Kingdom,1,01/12/2010,1
536841,21428,SET3 BOOK BOX GREEN GINGHAM FLOWER ,4,27:00.0,4.25,16150,United Kingdom,1,01/12/2010,1
536841,22077,6 RIBBONS RUSTIC CHARM,12,27:00.0,1.65,16150,United Kingdom,1,01/12/2010,1
536841,22169,FAMILY ALBUM WHITE PICTURE FRAME,2,27:00.0,8.5,16150,United Kingdom,1,01/12/2010,1
536841,22772,PINK DRAWER KNOB ACRYLIC EDWARDIAN,12,27:00.0,1.25,16150,United Kingdom,1,01/12/2010,1
536841,84879,ASSORTED COLOUR BIRD ORNAMENT,8,27:00.0,1.69,16150,United Kingdom,1,01/12/2010,1
536859,21733,RED HANGING HEART T-LIGHT HOLDER,2,43:00.0,2.95,12841,United Kingdom,1,01/12/2010,1
536956,20754,RETROSPOT RED WASHING UP GLOVES,6,43:00.0,2.1,14210,United Kingdom,1,01/12/2010,1
536956,21905,MORE BUTTER METAL SIGN ,6,43:00.0,2.1,14210,United Kingdom,1,01/12/2010,1
538852,90058B,CRYSTAL STUD EARRINGS ASSORTED COL ,36,33:00.0,0.38,17372,United Kingdom,1,01/12/2010,1
538855,21239,PINK  POLKADOT CUP,8,50:00.0,0.85,16503,United Kingdom,1,01/12/2010,1
538859,21428,SET3 BOOK BOX GREEN GINGHAM FLOWER ,16,59:00.0,3.75,16553,United Kingdom,1,01/12/2010,1
538859,22960,JAM MAKING SET WITH JARS,36,59:00.0,3.75,16553,United Kingdom,1,01/12/2010,1
539322,22418,10 COLOUR SPACEBOY PEN,12,22:00.0,0.85,14713,United Kingdom,1,01/12/2010,1
539322,22519,CHILDS GARDEN BRUSH PINK,2,22:00.0,2.1,14713,United Kingdom,1,01/12/2010,1
539322,22645,CERAMIC HEART FAIRY CAKE MONEY BANK,4,22:00.0,1.45,14713,United Kingdom,1,01/12/2010,1
539322,82484,WOOD BLACK BOARD ANT WHITE FINISH,4,22:00.0,6.45,14713,United Kingdom,1,01/12/2010,1
539333,22178,VICTORIAN GLASS HANGING T-LIGHT,12,52:00.0,1.25,13627,United Kingdom,1,01/12/2010,1
539333,22249,DECORATION WHITE CHICK MAGIC GARDEN,16,52:00.0,0.85,13627,United Kingdom,1,01/12/2010,1
539336,22470,HEART OF WICKER LARGE,10,34:00.0,2.95,17790,United Kingdom,1,01/12/2010,1
539338,21210,SET OF 72 RETROSPOT PAPER  DOILIES,288,54:00.0,1.45,17404,Sweden,1,01/12/2010,1
539338,22326,ROUND SNACK BOXES SET OF4 WOODLAND ,6,54:00.0,2.95,17404,Sweden,1,01/12/2010,1
539338,22530,MAGIC DRAWING SLATE DOLLY GIRL ,192,54:00.0,0.42,17404,Sweden,1,01/12/2010,1
539338,22536,MAGIC DRAWING SLATE PURDEY,192,54:00.0,0.42,17404,Sweden,1,01/12/2010,1
539338,22756,LARGE YELLOW BABUSHKA NOTEBOOK ,12,54:00.0,1.25,17404,Sweden,1,01/12/2010,1
539338,22757,LARGE RED BABUSHKA NOTEBOOK ,12,54:00.0,1.25,17404,Sweden,1,01/12/2010,1
539401,20685,DOORMAT RED RETROSPOT,30,02:00.0,6.75,12709,Germany,1,01/12/2010,1
539444,21677,HEARTS  STICKERS,12,52:00.0,0.85,14146,United Kingdom,1,01/12/2010,1
539444,22969,HOMEMADE JAM SCENTED CANDLES,24,52:00.0,1.45,14146,United Kingdom,1,01/12/2010,1
539456,20679,EDWARDIAN PARASOL RED,1,23:00.0,5.95,16885,United Kingdom,1,01/12/2010,1
539456,22166,WALL MIRROR RECTANGLE DIAMANTE PINK,1,23:00.0,7.95,16885,United Kingdom,1,01/12/2010,1
539456,85136A,YELLOW SHARK HELICOPTER,1,23:00.0,7.95,16885,United Kingdom,1,01/12/2010,1
539475,16207A,PINK STRAWBERRY HANDBAG ,2,41:00.0,2.95,16686,United Kingdom,1,01/12/2010,1
539475,20752,BLUE POLKADOT WASHING UP GLOVES,1,41:00.0,2.1,16686,United Kingdom,1,01/12/2010,1
539475,20969,RED FLORAL FELTCRAFT SHOULDER BAG,1,41:00.0,3.75,16686,United Kingdom,1,01/12/2010,1
539475,21372,MIRRORED WALL ART TABLE LAMP,1,41:00.0,2.95,16686,United Kingdom,1,01/12/2010,1
539475,21579,LOLITA  DESIGN  COTTON TOTE BAG,2,41:00.0,2.25,16686,United Kingdom,1,01/12/2010,1
539475,22274,FELTCRAFT DOLL EMILY,1,41:00.0,2.95,16686,United Kingdom,1,01/12/2010,1
539475,22328,ROUND SNACK BOXES SET OF 4 FRUITS ,1,41:00.0,2.95,16686,United Kingdom,1,01/12/2010,1
539475,22551,PLASTERS IN TIN SPACEBOY,1,41:00.0,1.65,16686,United Kingdom,1,01/12/2010,1
539475,22899,CHILDREN'S APRON DOLLY GIRL ,3,41:00.0,2.1,16686,United Kingdom,1,01/12/2010,1
539475,22966,GINGERBREAD MAN COOKIE CUTTER,1,41:00.0,1.25,16686,United Kingdom,1,01/12/2010,1
539475,84509A,SET OF 4 ENGLISH ROSE PLACEMATS,2,41:00.0,3.75,16686,United Kingdom,1,01/12/2010,1
539475,84828,JUNGLE POPSICLES ICE LOLLY HOLDERS,2,41:00.0,1.25,16686,United Kingdom,1,01/12/2010,1
539491,21123,SET/10 IVORY POLKADOT PARTY CANDLES,2,09:00.0,1.25,14646,Netherlands,1,01/12/2010,1
539491,21981,PACK OF 12 WOODLAND TISSUES ,12,09:00.0,0.29,14646,Netherlands,1,01/12/2010,1
539491,22613,PACK OF 20 SPACEBOY NAPKINS,2,09:00.0,0.85,14646,Netherlands,1,01/12/2010,1
539501,22311,OFFICE MUG WARMER BLACK+SILVER ,2,08:00.0,2.95,17085,United Kingdom,1,01/12/2010,1
539501,22314,OFFICE MUG WARMER CHOC+BLUE,2,08:00.0,2.95,17085,United Kingdom,1,01/12/2010,1
539572,22891,TEA FOR ONE POLKADOT,6,14:00.0,4.25,14113,United Kingdom,1,01/12/2010,1
539642,15056BL,EDWARDIAN PARASOL BLACK,2,35:00.0,5.95,15867,United Kingdom,1,01/12/2010,1
539642,21544,SKULLS  WATER TRANSFER TATTOOS ,5,35:00.0,0.85,15867,United Kingdom,1,01/12/2010,1
536404,21061,PARTY INVITES FOOTBALL,12,29:00.0,0.85,16218,United Kingdom,1,01/12/2010,1
536404,21125,SET 6 FOOTBALL CELEBRATION CANDLES,12,29:00.0,1.25,16218,United Kingdom,1,01/12/2010,1
536404,84378,SET OF 3 HEART COOKIE CUTTERS,12,29:00.0,1.25,16218,United Kingdom,1,01/12/2010,1
536460,21485,RETROSPOT HEART HOT WATER BOTTLE,6,22:00.0,4.95,14849,United Kingdom,1,01/12/2010,1
536524,21106,CREAM SLICE FLANNEL CHOCOLATE SPOT ,6,51:00.0,2.95,17572,United Kingdom,1,01/12/2010,1
536524,21107,CREAM SLICE FLANNEL PINK SPOT ,6,51:00.0,2.95,17572,United Kingdom,1,01/12/2010,1
536525,22428,ENAMEL FIRE BUCKET CREAM,1,54:00.0,6.95,14078,United Kingdom,1,01/12/2010,1
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
